id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
A01_48,7.260084,-2.84273,2.36568,-7.90591,5.76312,2.1117035,6.679748,-15.135913,0.962862,-0.7372605,-3.08522,-2.973767,-1.0173075,-4.365023,-0.080885,-0.413982,2.4107,0.9580805,-13.11043,-0.77466,-0.9185,3.896485,-13.366897,1.5390725,-0.7516525,-4.3269755,0.458756,-1.98421,-0.1895425,2.307765,-0.453515,43.38,-0.9464,0.007185,56.32,-5.3673525,61.75,65.58,-4.163385,-15.21545
A01_49,2.1757605,11.374347,-5.603495,-1.71264,2.94796,0.336312,2.1024595,19.063183,-2.2275175,1.1413245,-6.26664,1.837859,-0.258279,0.593302,0.07125,-2.6633315,13.27945,-0.7283285,5.13922,3.39681,-0.119674,2.827375,3.5606365,3.7123745,-0.316317,-3.3976175,-4.3333835,1.72463,0.0861015,-3.021805,0.16987,42.855,0.7638763,0.66644,56.48,-0.3223975,61.405,62.775,-3.850495,7.71106
A01_50,-6.6626865,10.698211,-2.181825,-13.39565,-1.60996,-2.177024,-0.6289985,0.5168935,1.072251,-0.650101,-6.94287,0.247708,-2.3811965,0.1058775,1.696215,1.488464,-10.4369,-2.321173,3.315845,1.47723,-1.4966355,0.84956,-3.8539995,-0.1405675,-0.092743,-7.2691505,-1.946909,-2.06126,1.198858,-1.064165,-0.6502,43,0.25263765,-0.257115,53.06,-2.145354,59.44,58.885,-6.991975,-3.10477
A01_51,0.661064,-5.163724,-0.074185,6.063915,-0.881385,1.7809355,1.5235045,4.1033085,2.3551505,1.4493575,8.034615,-1.2421045,0.393558,0.360312,1.248245,0.6470175,11.45455,1.5069235,5.044185,9.39304,2.355458,-0.21532,-3.826995,-1.353381,1.9946295,-7.2169025,2.8702005,-1.0515,0.852545,-4.83553,-0.290835,44.555,-0.87724685,-1.32728,56.715,-0.5575775,60.525,59.925,7.326765,9.35794
A01_52,-8.6625005,12.322577,2.81718,17.77309,-6.48533,-4.949302,-9.200697,2.393902,-2.4055005,-6.0118325,1.91192,-1.563473,-4.673132,-3.897838,-2.71285,-1.1103895,-7.8331,-4.5477105,-1.046065,8.191575,-4.0103155,-1.59811,-0.8295115,-1.745207,-1.693559,4.7291705,-2.4728215,-3.337635,-3.740223,-2.373485,-3.031825,42.1,1.1267437,-1.18117,52.56,-2.6183505,52.69,51.97,0.740395,-5.123455
A01_53,-6.984762,-6.262606,17.246225,-0.362255,-5.16167,-4.045209,-6.75603,-18.4245915,-4.5740075,-3.7551585,3.25716,-1.112813,-3.5992885,-1.5573125,-5.748305,-4.96191,-14.5574,-3.520836,-2.487075,14.703665,-2.7961865,-1.97383,4.5554475,-0.959868,-4.77717,-8.444682,-1.749223,-4.930365,-6.127249,1.93938,-3.97954,42.13,0.01147645,-1.30241,52.165,-2.8300865,53.01,53.365,-1.183295,-4.438345
A01_54,3.8676815,-2.335124,-5.938865,4.7421,3.508945,3.7538455,4.158535,18.9274165,2.25896,4.7831305,5.593105,-0.443077,4.579724,4.4773125,-2.642845,-0.641931,13.5071,3.6331585,14.71478,-10.1136,4.5803955,-4.424435,6.1447525,0.737982,4.1581295,-1.785713,2.047473,4.051045,-0.848823,3.52613,-0.53934,43.225,0.344222,0.912605,60.535,1.037641,62.495,63.855,9.76519,13.40923
A01_55,-1.6216925,5.521285,4.20595,-9.593735,-0.51516,-5.746173,-2.0016175,5.688532,1.1830645,-2.1591965,-6.620175,3.6076185,-3.945,-0.5713335,-1.88177,0.289785,-4.34505,-2.850736,-1.678145,-6.477675,-4.0953875,-4.037245,7.150962,5.8419155,1.549869,5.247052,-1.59688,-2.125685,-0.7210645,1.61746,-0.606835,40.935,0.1365773,0.51033,52.145,3.865811,55.29,57.415,-10.34651,2.24725
A01_56,0.678058,10.7201285,1.703105,10.444525,-0.91959,2.1198865,-0.2908185,-2.245294,0.376153,-0.1167445,19.95012,0.0519455,1.907999,2.22925,1.35013,0.3375385,10.57165,0.2705935,10.000705,-2.51832,2.2290595,3.070605,7.4414475,4.151068,1.1866025,10.6891255,4.4889125,0.905835,-1.9922985,0.355945,-1.517555,42.04,0.5922152,0.039635,57.33,3.936107,57.125,58.925,3.121915,20.12199
A01_57,-3.54193,-9.6540725,3.340985,1.708725,0.87815,0.435781,-2.6599975,-15.6119705,-1.962479,-1.324462,2.65,2.8772325,-0.7226675,-1.3929985,-2.242065,-2.1256735,17.18645,1.0297875,4.73003,-1.298875,-3.337566,-5.43391,-10.50896,1.890674,-2.1982355,3.8790085,-1.73613,2.17944,-2.933248,-0.7239,-2.38401,41.845,0.6885395,-0.147505,55.995,0.027253,57.995,59.175,3.140645,15.52788
