X6.azauracil.50ug.mL.3	Cadmium_Chloride.75uM.2	Caffeine.15mM.2	Cobalt_Chloride.2mM.2	Congo_Red.75ug.mL.3	Copper_Sulfate..1	Diamide.1.5mM.3	EGTA.5mM.3	EtOH..1	EtOH_Glucose..1	Fluconazole.100uM.2	Formamide.2..2	Fructose..1	Galactose..1	Glycerol..1	Lactate..1	Lithium_Chloride.100mM.2	Magnesium_Chloride..1	Maltose..1	Manganese_Sulfate..1	Mannose..1	Methotrexate.0.4mM.2	Neomycin.5mg.mL.2	Paraquat.0.75mM.3	Raffinose..1	SDS.0.075..3	Sorbitol.1.5M.2	Sucrose..1	Trehalose..1	Tunicamycin.3uM.3	Xylose..1	YNB..1	YNB.ph3.1	YNB.ph8.1	YPD..1	YPD.15.1	YPD..2	YPD..3	YPD.37.1	Zeocin.25ug.mL.3
2.81428292354848	3.23657353227058	3.7951108936803	2.63877142353476	3.49939241028861	1.95880674117725	3.02076106096599	2.94822006294282	2.29855688895362	2.40941524374049	2.20003411416664	2.60713854523089	2.82837078576979	2.80034687862395	2.75289428900231	3.70160899046	3.95959270389315	2.2341787175777	2.30788672506194	2.67886776656125	2.12127425529885	2.47897910659702	2.71098466270936	2.175135330149	2.4913129548228	3.56703107871968	2.78539387175473	2.35085523781033	2.23347666558653	2.63849671258539	3.42394785637049	1.73265432293498	3.27023632265661	2.41839209202212	2.51404721782432	2.74826208457662	2.84713001425055	2.9889129882909	2.1200548155229	2.71385021170766
2.69445929209996	2.05870107813575	3.73673364627823	2.24623941066416	2.67394810639894	3.24658823300201	2.82861243031042	1.64694010786953	2.4427656575918	2.64115007346553	2.27529696012536	2.74861753455969	2.65525146935383	2.51105013499386	2.10906030996851	2.12923397609966	2.5261217493459	2.3437859582085	2.65585936875217	2.37019054914077	2.66077886205316	2.39342147547277	2.33665575757377	3.55769136132666	2.85080275363079	2.41396509051286	2.74323748850762	2.50423750319307	2.09154495206464	3.16724944628776	2.52546421322485	2.37087516082673	2.74462841378116	2.60802252092069	2.35141818493856	3.04268949534437	3.11915409547786	2.83869356759458	2.86593726988694	2.33516942703002
2.90415472898613	2.86274276754873	2.48489847314039	2.82811171727533	3.98685909860131	3.12381144619793	4.07473433004111	2.48007909836424	3.32084842668845	3.68654097409678	3.13730156328283	2.12507458590599	3.91443178082703	3.58001285984083	3.5076678515846	3.15203996317743	2.08792148111595	2.61571732960632	2.44806420316235	3.60044030668484	3.48711052577441	2.49393514757952	2.78669176930816	2.85561178005758	3.95444049039465	2.50402969382457	2.10420219154377	3.27080635237147	4.93245209465922	1.98206368346148	4.23626560368891	2.56115892899819	2.82726433970111	2.82444388089255	3.36757354974399	2.54872548969897	3.16530538106314	4.29330531424367	3.20745818018774	2.34373146412064
2.04422936637082	3.26071132863052	2.65504699372074	2.65201221415671	2.66007179258505	2.09669260843282	2.89983543282969	3.27697070246874	3.10356515065685	2.34385419474221	2.10742946623821	2.53052761230255	2.35150900868831	3.20572202198863	2.90438904795768	1.80466411576393	3.18187343104068	1.80001075256698	2.02516314044277	2.25162026301832	2.13468786093543	1.96333921121452	3.1593238763735	2.65390319303273	2.81780486245647	6.73129289407966	2.11476316224452	2.71561042479873	2.50845774294461	2.39927304658881	2.03121527097169	2.48531200133228	3.25444352183036	3.71641701729665	2.43908025062925	2.34232546813531	3.06795120790646	2.42578253231085	3.69945573788002	3.37877679502035
2.48024537004579	2.05333346527004	3.96028866809579	2.42800871217229	4.97685005556043	3.87797139208132	5.37917695601374	2.31955405639628	3.41614301196663	3.81302419034681	2.7420381919896	1.82826848580925	4.25779631666882	3.04930196310833	3.57323940750779	3.47997871785656	1.88737504675539	2.83979231394668	2.20726041422286	2.06094578030759	3.57146851536663	2.35992915822967	1.95793998859265	3.68184068673228	3.3404535834317	4.3852812121981	2.7271387427658	3.68098212954422	4.4107503782135	3.86746285719815	3.78530488239168	4.93894304852129	2.20326493077158	2.23015344573326	4.06039047226847	2.33919899939469	4.06420889154419	4.60000739892074	4.05994591139433	2.94034374200239
3.68746204386571	2.66937252916253	2.83768492314492	1.98754941208056	2.31370762463549	3.4116770587716	2.18293248861933	2.92371166542542	2.38535108791973	3.3503154162459	2.73577237100474	2.98048066539574	2.52855456231875	2.21359728123954	2.29938766211608	2.5050320153755	2.96975775570248	2.71600130431179	2.5626156902369	1.92486722041	2.92411977903278	1.96208401128604	2.23505898120999	3.02972229792829	2.44093405586761	2.09464449125243	3.48749833278122	3.15586271464542	2.92719783389941	2.73237878733864	2.62115683882418	2.63154363917737	2.7548506927533	2.76381566397402	2.54537556291408	2.52814123037491	3.34820688685528	2.69643867913511	2.23248408898205	2.71589041266703
2.72496097082009	2.61626693593423	2.03963937173359	2.54747002050064	3.0670771680878	3.33533145794714	2.40615858236047	2.11074936226933	2.57263564526329	3.36084486884762	2.26647968383234	2.76201488897189	3.04844501647975	2.8773994837845	2.23174486938151	2.57019810676099	2.3773626352253	2.72880003582174	2.98825584387392	3.50768178251712	2.5863915559755	3.46892488712486	2.47083832584618	3.74344554260318	3.55889952080361	2.4475382830824	3.57650346367289	2.76540066357389	3.21880219232302	1.83824813065089	3.23230527295012	1.98620767319847	2.11484591011876	2.61570879184908	3.09078782695983	2.17316361314608	3.19596046731856	3.19654963430109	2.3604937218488	1.98341998499438
2.34394504430048	2.23101344368448	2.47385468169358	2.82893771931689	1.87634497476438	2.41379834925512	2.17144506380381	2.97511101651415	1.93239381085384	2.08600099121742	2.47214096860423	2.89555627488687	2.12009253667422	3.44028263869055	1.88568313440497	2.08214576254236	3.21641673560326	1.95791846418044	2.27523886385152	2.82790174007702	1.75859218473368	3.10140917288141	2.15996773671092	2.36378023450994	2.83762924674094	2.01797870355044	3.21771680857515	2.1492479399616	2.28030402147466	2.57116006974332	1.91267660547039	2.8387196123714	2.86893038107961	2.80464448183503	2.18296261237779	2.24572504798018	1.97996137768919	2.0276750800984	2.14612711579618	2.28591132659086
3.33418241314994	2.50486083490862	2.14825118220426	3.65125430126999	3.10578498372115	2.88028405621441	2.60711396900257	2.51437990647981	2.38342895441468	3.29586564158331	3.09100270008668	2.99070439955736	3.04782445832056	1.93840744248318	2.61660760795947	2.28260321370448	2.33784443726929	3.2258165803431	2.57180847136914	2.55119160575346	2.93428481723668	4.1622125018414	2.39432056555492	2.45924936370393	2.33269317957176	2.07298741377599	2.36668242936267	3.64193162709831	4.09430027717244	2.1162484114627	4.094016171253	2.85840378101605	2.65787049506004	4.23432702698443	4.04174584087115	2.67789841676102	3.11030139909252	3.10979606969771	3.1162370619071	2.58377803550163
2.36425340480459	2.92861222936852	2.41120174722413	1.92746354733541	3.37186575062881	2.61562178167974	2.84548158277176	2.27142679318578	2.63825239521285	2.39726606797342	2.17975563174455	2.64145040975115	3.25910416738012	3.17289549248305	3.25111666341773	2.82180463122537	2.3718423537528	2.74461529048468	4.8190506242724	1.94134160778483	3.16406512461831	3.05168479103194	2.59563730266612	2.40086684378121	2.27075424511475	2.06399954927235	3.02160761817264	2.04996948879506	3.33177134194959	2.11625978924831	2.69738416467785	2.83655221679243	2.30788367286906	2.877458736139	2.54740808642839	3.43281471620261	2.2922902427637	2.26242632798091	2.9949835724184	2.47462024313409
