id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
375_G5_42,-0.10795,1.1090715,-4.132795,-4.24224,-1.876295,-30.039945,-7.727525,17.35477,2.17238,4.7496865,7.2218,-11.6952715,3.7555055,7.442685,4.058465,2.0971915,11.661135,4.067695,7.047635,-6.303079,4.321864,-7.52095,-14.455426,-5.07352,1.7581645,-4.560685,4.096233,2.86102,0.1118615,-14.48338,2.413275,28.075,1.224511,3.716796,58.745,0.7350995,59.73,60.355,-7.860385,-15.21065
375_G5_43,2.664775,-5.181124,-1.3904,0.909005,1.56978,4.90569,2.883105,15.924865,4.118785,2.334141,3.78817,-2.9964435,3.9267265,8.977965,3.54653,2.5506595,0.937585,1.975995,-0.576285,20.9944625,2.964644,-2.87826,-3.5629995,-1.43596,6.2640035,14.42422,-4.121113,5.542565,0.8916265,7.710375,0.78333,44.01,-0.571867,0.1115175,58.86,1.274829,62.44,63.565,4.08023,17.05793
375_G5_44,4.945065,-10.1257325,-2.00026,-5.641025,5.47025,7.466505,3.754565,-14.122555,3.749725,6.316856,-6.324145,-4.9637295,5.9894655,-4.77207,3.24143,1.5162355,-1.34526,5.76589,-3.0446,3.829159,4.140285,-6.55607,-5.994394,7.14013,6.720204,-12.95796,3.0502415,6.425065,-0.1938075,1.265985,0.065005,42.42,0.29927,1.5763855,62.59,4.97534,64.925,66.475,4.901945,17.980895
375_G5_45,1.52389,4.110129,14.710345,6.493455,-0.20098,5.44788,2.903445,-4.28336,-0.93199,2.597172,16.32211,2.9632195,0.838327,6.273045,-0.56637,-0.801312,8.181735,2.26655,5.153305,15.0944085,1.8011125,1.663385,2.561845,-3.49504,-3.31621,8.810625,0.8018695,3.98408,-1.250311,-4.729405,-1.221685,42.665,0.029724,1.3708605,57.06,3.46999,58.735,59.655,5.31517,22.38761
375_G5_46,-12.145185,1.882492,-7.92059,9.38254,-7.580615,-7.58107,-7.740455,-1.79534,-4.83319,-11.668788,-5.508635,0.1316815,-6.951321,-4.25643,-6.01738,-2.9720225,-10.2735,-9.721605,-6.21979,10.993086,-11.371406,2.52508,6.448386,-2.729185,-9.9931525,-8.270135,-3.2816635,-7.88887,-7.668749,-5.03053,-7.62954,35.84,0.116317,-0.576696,46.785,-13.6735825,45.53,45.825,-8.519805,-15.67029
375_G5_47,6.513295,-16.758721,-12.777395,-9.69399,5.246745,8.4311,7.192085,-15.459885,6.68302,7.162893,1.55548,-7.066919,5.975118,8.8876,5.18824,1.991848,-3.04678,5.59981,14.596915,-9.4490245,4.9052715,-6.73789,-5.7673215,-0.23435,6.3574935,0.692335,-0.5832895,7.07001,3.5062705,-3.669345,2.47201,45.89,0.150124,-1.549789,62.36,-0.6531705,64.28,67.395,3.622605,-15.94059
375_G5_48,3.824025,-4.8259725,-6.02326,-14.580175,1.908645,6.749095,3.233065,-15.87421,0.2029,1.9563055,-19.57739,1.4356175,2.526748,6.67103,-0.587075,-1.129718,-5.01911,0.814955,-8.036385,0.509189,3.352335,2.590865,2.698377,-4.133055,-2.4349495,-0.392685,-0.958518,3.27393,1.212121,-2.666675,0.65844,40.33,0.438832,1.952296,55.89,0.105845,59.555,59.7,3.031555,-10.85991
375_G5_49,-6.677955,-14.3728465,-2.41125,8.952405,-5.58601,-13.36568,-11.54161,-6.369005,-5.374985,-9.33113,8.69828,-5.1026275,-11.3519915,-15.37616,-8.192375,-7.69677,-10.68401,-7.783625,-13.278645,-5.249723,-9.6832095,-2.734325,4.103008,0.6296,-8.7964765,1.35114,1.5712505,-9.837185,-3.067972,0.052535,-3.143265,25.625,-0.597285,-0.8807675,45.71,-10.286198,51.65,49.42,-12.13366,-16.047035
375_G5_50,5.49343,-1.594231,16.966715,4.0496,8.214555,11.78562,10.03939,-14.24984,7.347245,8.167982,2.299525,-1.469983,6.8025385,16.18333,7.643625,7.389016,-3.10015,7.38144,20.270725,7.396094,6.299966,-3.181715,2.6472705,1.73425,9.200102,12.831165,2.0389795,10.52268,6.2516465,6.36145,5.922775,45.645,0.9381195,1.7499815,64.5,6.9720155,66.935,68.56,13.215925,31.36224
375_G5_51,4.642925,14.249564,0.300205,-1.57857,5.810155,6.58881,4.76279,-10.096285,0.61382,3.8755645,-4.87763,-0.274684,5.805413,-8.132505,0.128925,0.2436195,-5.12308,2.34033,-5.12748,-4.2998695,5.611744,3.87912,1.287105,-1.448225,6.29299,2.711495,-1.581312,8.056895,0.018026,11.02651,-0.571765,44.61,-0.5455115,0.6333805,60.87,0.986171,61.375,64.72,2.740465,1.95485
