sample	AA	BB	CC	DD	EE	FF	GG	HH	II
3_30	7.98705345485378e-08	1.06494046064715e-07	4.9071475503124e-08	2.51287560041362e-08	7.66782595833295e-08	1.19487117124463e-07	4.90714721290161e-08	7.53767138724375e-08	0.999999418821629
3_36	0.0309379668007578	0.969061939634933	2.46080656017494e-12	1.32421250538088e-12	3.97263737244451e-12	1.96640791954298e-09	2.41929584512183e-12	3.97320287841339e-12	9.15837443408088e-08
3_40	0.0309088904106817	0.969090943865849	6.96472529710584e-12	4.98336055875335e-11	1.49500735817212e-10	7.40231256868957e-08	6.75140340038588e-12	1.49780154691535e-10	9.13375046487375e-08
3_43	0.958935305506837	0.0410645988648388	2.45660149817966e-12	1.32194985363569e-12	3.96584939953402e-12	1.96316386533973e-09	2.41516130878956e-12	3.96641393959634e-12	9.36510298241276e-08
3_44	7.35926670046372e-08	9.81235560061835e-08	4.97382883437129e-08	2.54726873211001e-08	8.17966370399645e-08	7.54031974204708e-08	4.9738274939621e-08	0.999999470763169	7.53715348050801e-08
3_46	7.35926670046351e-08	9.81235560061807e-08	4.97382883437122e-08	2.54726873210983e-08	8.17966370399634e-08	7.54031974204697e-08	4.97382749396224e-08	0.999999470763155	7.53715348050791e-08
3_53	0.0309600512567888	0.969039780665278	6.97005403666002e-12	4.98717401064051e-11	1.49615139337691e-10	7.40841450817316e-08	6.75656778389611e-12	1.49894772047754e-10	9.36306952364064e-08
3_55	0.0309597470844224	0.969040157121427	2.46086079030695e-12	1.3242418636917e-12	3.97272544805758e-12	1.96656762789546e-09	2.41934875132603e-12	3.9732909669375e-12	9.38134018190326e-08
3_56	4.23674317030355e-05	5.6489908937381e-05	0.872066381903537	0.0158658316555456	0.0348400128606811	6.82889696433274e-05	1.31420134117013e-05	0.0349099264898432	0.0421375587666756
3_71	7.98705345485264e-08	1.06494046064703e-07	4.90714755031143e-08	2.51287560041333e-08	7.66782595832903e-08	1.19487117124442e-07	4.90714721290008e-08	7.53767138724354e-08	0.999999418821629
3_82	8.43180950437252e-10	1.12424126724968e-09	3.04042112403706e-12	4.00034190328217e-11	1.19992896283009e-10	0.999999877385399	2.89702355284891e-12	1.20225202662421e-10	1.2036100817696e-07
3_84	1.05550562528311e-12	1.40734083371082e-12	0.999999889071581	5.20091960240889e-10	1.5313783696988e-09	3.04123179538718e-12	7.21666818240394e-09	5.10423215460424e-08	5.06124482185039e-08
4_1	1.55401236666407e-12	1.55401236666407e-12	1.62080684243222e-08	7.21839934381098e-12	2.1654345725156e-09	4.33954573487886e-12	0.99999994941537	1.60675823973994e-08	1.61288789197747e-08
4_11	0.49994707937573	0.499947079375773	8.23565071120583e-06	2.8963941479878e-10	8.68916856340183e-08	4.30129364837845e-05	5.88706797577656e-09	1.08625511976467e-07	5.43909673817881e-05
4_14	2.30684418404728e-09	2.30684418404728e-09	3.10915450715575e-06	2.76247584592823e-07	0.999577224139509	0.000223951944757321	2.96038569317149e-06	8.88879224992532e-05	0.000103585591758602
4_22	0.969042276668827	0.0309575796173412	8.94154519559603e-12	4.26529398151993e-13	1.27958750184544e-10	6.33606288455485e-08	8.66766582460563e-12	1.28197907207156e-10	8.00790316369613e-08
4_32	1.70228027248353e-12	1.70228027248353e-12	2.29474139272008e-09	2.5430300471186e-10	0.999999836164007	1.1991388366861e-10	2.16693402242099e-09	8.18594028800063e-08	7.71372940722467e-08
4_33	1.03536628918955e-09	1.03536628918955e-09	2.29582635834794e-09	4.21108144061973e-10	1.26279970416071e-07	0.999999667830336	2.16951230640314e-09	7.68184312520703e-08	1.2211408427553e-07
4_35	1.58155378943888e-12	1.58155378943888e-12	0.999999829156068	7.79297014829312e-12	2.29459200607938e-09	4.55693139197392e-12	1.62193188461834e-08	7.64793126468757e-08	7.58352024983656e-08
4_36	7.35309042036832e-08	7.35309042036832e-08	7.45448176900119e-08	2.54513135477063e-10	8.17280016585372e-08	7.53399280919703e-08	7.45447976006064e-08	0.999999471217845	7.53082919437026e-08
4_50	9.53391777827755e-11	9.53391777827755e-11	9.746155306547e-08	3.31806852271922e-10	9.93303030962771e-08	1.56016821502929e-08	7.47336123119502e-06	0.999984503019474	7.81070325850965e-06
4_55	1.55401236666411e-12	1.55401236666411e-12	1.62080684243229e-08	7.21839934381139e-12	2.16543457251572e-09	4.33954573487898e-12	0.99999994941537	1.60675823974001e-08	1.61288789197754e-08
4_58	1.70228027248382e-12	1.70228027248382e-12	2.29474139272047e-09	2.54303004711903e-10	0.999999836164007	1.1991388366863e-10	2.16693402242133e-09	8.18594028800203e-08	7.7137294086678e-08
4_60	0.500471324099554	0.499528593897728	3.15974872723567e-12	1.13355320902227e-14	3.40065948868778e-12	1.68338415883211e-09	3.10644543968382e-12	3.40114357895791e-12	8.03062680137289e-08
4_61	7.98047254579702e-08	7.98047254579702e-08	7.35465646174381e-08	2.5108055891136e-10	7.66137321889515e-08	1.19463551473805e-07	7.35465595604046e-08	7.53134239638658e-08	0.999999421655613
4_67	1.70228029308452e-12	1.70228029308452e-12	2.29474164023994e-09	2.54304369430777e-10	0.999999836152866	1.19913885145623e-10	2.16693404905065e-09	8.18705394754319e-08	7.71372950825221e-08
4_68	1.58155378943879e-12	1.58155378943879e-12	0.999999829156068	7.79297014828958e-12	2.2945920060786e-09	4.55693139197263e-12	1.62193188357486e-08	7.64793126464714e-08	7.58352024979647e-08
5_3	1.70260694201911e-12	1.70260694201911e-12	2.29518175597697e-09	2.54351730149517e-10	0.999999820344003	1.19936895705224e-10	2.16734986723737e-09	8.18750874185503e-08	9.29407087944894e-08
5_11	1.70228027248356e-12	1.70228027248356e-12	2.29474139272008e-09	2.5430300471186e-10	0.999999836164007	1.19913883668611e-10	2.16693402242096e-09	8.18594028800051e-08	7.71372940722467e-08
5_12	4.17008279577363e-09	4.17008279577363e-09	0.997134065935517	1.42293892989841e-08	3.00476455783256e-07	0.00286459002692188	7.95678933066875e-08	3.66869133193592e-07	5.74554505150856e-07
