sample	AA	BB	CC	DD	EE	FF	GG	HH	II	JJ	KK	LL	MM	NN	OO	PP	QQ	RR	SS
MAGIC.96	1.6308449784487e-09	9.29129497472175e-08	7.77490193636021e-08	9.29465866741059e-08	9.33697746255299e-08	9.3369770771499e-08	9.30006950303227e-08	1.85956584567341e-08	9.29078555355469e-08	0.99999802284457	9.3369774424628e-08	3.95190513942417e-07	7.77490193631872e-08	9.27832996052118e-08	9.29078556778802e-08	7.77490204148943e-08	2.78140044681677e-07	1.10250087783543e-07	1.02532659741474e-07
MAGIC.97	3.30616031596063e-10	9.26801055349125e-08	7.75858382590312e-08	9.30068870390109e-08	9.27126901464402e-08	9.27126931612276e-08	9.3419636942315e-08	1.85559398204653e-08	9.27117616068636e-08	2.78005003402049e-07	9.27127962084734e-08	1.64501320333343e-07	7.75858384708116e-08	9.25879434398895e-08	9.27119746679637e-08	7.75872251623892e-08	0.999998258061336	1.10225057167045e-07	1.02305339225545e-07
MAGIC.98	3.50926194754925e-10	0.999997895353074	1.39856746063365e-07	1.72146303023358e-07	1.23918176636353e-07	1.23091297796182e-07	1.72231446914961e-07	2.05446109512022e-08	1.21550972116735e-07	9.28717558351052e-08	1.23918176388262e-07	1.10026362856695e-07	1.3985674606257e-07	1.97425428607238e-07	1.21550967214473e-07	1.39860483444331e-07	9.28344508759583e-08	1.02440825588434e-07	1.10171250848923e-07
MAGIC.99	0.999999942648637	4.23393430932331e-08	1.7255335028687e-10	1.10144744454142e-09	6.11133321606784e-10	2.72163951481906e-10	9.83434468632471e-10	4.12032023344575e-11	8.36692524001821e-10	7.35929499160091e-09	2.72883820812341e-10	1.60717723347857e-09	1.71879758332755e-10	2.68879572479867e-10	2.6948159444591e-10	1.7187975833277e-10	3.68473592828998e-10	2.06836641195651e-10	2.96600175963028e-10
MAGIC.535	2.2565257755504e-10	1.25647614735461e-07	8.92744742287778e-08	1.68052548211955e-07	0.999988804390273	2.51205147707929e-06	1.99242469189666e-07	2.81065731909224e-08	1.07045110434352e-06	9.45002756303406e-08	5.29817269155881e-06	2.94354761827007e-07	8.72531045583461e-08	2.62053579588136e-07	4.66696337544327e-07	8.72531087460975e-08	9.40281172913249e-08	1.41525655642698e-07	1.76720180064009e-07
MAGIC.540	1.56836603513658e-10	1.40218651948489e-07	0.999989010964112	8.64158751789499e-08	8.8819558117686e-08	8.68522273971753e-08	8.71190231567395e-08	2.06107016204904e-08	8.75381420372807e-08	7.8226120153413e-08	8.67974160542007e-08	7.86136687448111e-08	5.33822100201521e-06	1.40067085108894e-07	8.67922210242021e-08	4.32146232824846e-06	7.82269121174684e-08	1.044012917508e-07	7.84968502130554e-08
MAGIC.543	1.74861683196277e-09	0.00120638409478101	4.39888385019061e-07	3.70709245713403e-06	8.25615071656589e-07	8.25615894822757e-07	1.28517099332646e-06	0.998778490565411	8.22848754436839e-07	4.72682958642537e-07	8.25614302252425e-07	5.5677038618088e-07	4.39888383871724e-07	6.14326700804553e-07	8.22848972691859e-07	4.39888389241499e-07	4.72669252372504e-07	2.01498814908145e-06	5.57682144528099e-07
MAGIC.546	4.51718405553625e-10	2.55355294617676e-07	1.78544057080522e-07	3.40704067568151e-07	0.998813958811202	7.48078166446503e-06	3.99952649110639e-07	5.63032120812285e-08	2.14893433747208e-06	1.88937752944675e-07	0.00117174308746972	6.07110866406642e-07	1.74501428494069e-07	5.28072488249587e-07	9.36253361897064e-07	1.74500158967285e-07	1.87974037130213e-07	2.86442405338243e-07	3.53281825020146e-07
MAGIC.552	2.24980638658237e-10	1.25275363441746e-07	8.71097625178833e-08	1.67631496379243e-07	5.27954025978008e-06	2.27328817257849e-06	1.98648981488338e-07	2.80597054363261e-08	4.67273092954465e-07	9.42875218716428e-08	0.999989656461774	2.66241015002147e-07	8.71659955813774e-08	2.60805084168166e-07	5.10901652110821e-07	8.71659997607987e-08	9.38165227371096e-08	1.40203438347542e-07	1.75899180268948e-07
MAGIC.553	8.5128897567871e-08	3.84994975708218e-05	2.74990930095507e-05	3.85366351215492e-05	0.000205745956437483	0.000271258489884778	3.84999050677882e-05	6.51658779921886e-06	0.000300503064394779	3.57753027347584e-05	0.0766839297510417	0.000307692239291883	2.72866106984612e-05	8.10839814697648e-05	0.000271261723474212	2.72863484645856e-05	3.57749521654294e-05	3.28715261070976e-05	0.92156989320637
